session_id,timestamp_ms,face_visible,eyes_open_prob,head_yaw_deg,head_pitch_deg,head_roll_deg,looking_away,multi_person_count,speech_detected,tab_switched,copy_paste,window_blur,dwell_time_ms,blink_rate_hz,suspicion_score,target
EYE,420,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1660,0.454,0.73,0
EYE,1034,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1266,0.838,1.27,0
EYE,2095,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4244,0.558,0.73,0
EYE,2838,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1569,0.477,0.73,0
EYE,3697,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3233,0.854,1.27,0
EYE,4118,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4185,0.853,1.27,0
EYE,5199,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3704,0.982,2.27,1
EYE,6074,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2847,0.748,1.27,0
EYE,7160,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,3547,0.33,0.73,0
EYE,8122,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3805,0.686,1.27,0
EYE,8652,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2699,1.156,2.27,1
EYE,9698,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4356,0.939,2.27,1
EYE,10437,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3688,0.84,1.27,0
EYE,11264,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2278,0.371,0.73,0
EYE,11744,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,3356,0.363,0.73,0
EYE,12705,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2755,0.938,2.27,1
EYE,13670,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4743,0.855,1.27,0
EYE,14546,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4643,1.052,2.27,1
EYE,15216,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,961,0.97,2.27,1
EYE,15867,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4598,0.883,1.27,0
EYE,17058,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1816,0.426,0.73,0
EYE,17674,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4793,0.564,0.73,0
EYE,18138,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1179,0.305,0.73,0
EYE,18881,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3368,0.795,1.27,0
EYE,19699,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2827,0.464,0.73,0
EYE,20329,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4361,0.309,0.73,0
EYE,20761,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3899,0.933,2.27,1
EYE,21734,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,3254,0.498,0.73,0
EYE,22680,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1604,0.481,0.73,0
EYE,23848,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,3490,0.536,0.73,0
EYE,25042,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1828,1.05,2.27,1
EYE,25456,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1006,0.934,2.27,1
EYE,26096,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2284,0.915,2.27,1
EYE,26591,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1363,0.889,1.27,0
EYE,27645,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2557,0.93,2.27,1
EYE,28585,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4042,0.297,0.73,0
EYE,29227,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1859,0.414,0.73,0
EYE,30422,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3957,0.961,2.27,1
EYE,31467,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,3425,0.253,0.73,0
EYE,32206,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4427,0.489,0.73,0
EYE,32953,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2781,1.037,2.27,1
EYE,33542,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4102,0.918,2.27,1
EYE,34686,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2106,0.527,0.73,0
EYE,35444,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2082,0.371,0.73,0
EYE,36520,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1509,0.634,1.27,0
EYE,37293,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1463,0.935,2.27,1
EYE,37805,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4543,1.089,2.27,1
EYE,38701,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2653,0.917,2.27,1
EYE,39213,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2091,0.898,1.27,0
EYE,40237,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2436,0.733,1.27,0
EYE,41278,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,3799,0.41,0.73,0
EYE,42413,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1654,0.357,0.73,0
EYE,43542,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4274,0.934,2.27,1
EYE,44357,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2533,0.597,0.73,0
EYE,45523,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4310,0.322,0.73,0
EYE,46532,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3127,0.977,2.27,1
EYE,47075,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,997,1.022,2.27,1
EYE,47675,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1408,0.861,1.27,0
EYE,48845,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1947,1.093,2.27,1
EYE,50008,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1459,0.408,0.73,0
EYE,51118,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2169,0.245,0.73,0
EYE,52006,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2643,0.407,0.73,0
EYE,53046,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,3776,0.443,0.73,0
EYE,53918,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2602,0.153,0.73,0
EYE,54461,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4861,0.297,0.73,0
EYE,55432,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1423,0.474,0.73,0
EYE,55840,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2849,0.5,0.73,0
EYE,56898,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3970,0.915,2.27,1
EYE,57884,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3055,0.962,2.27,1
EYE,58703,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2448,0.522,0.73,0
EYE,59214,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2245,0.485,0.73,0
EYE,60086,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3357,1.079,2.27,1
EYE,60648,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,898,0.886,1.27,0
EYE,61728,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4591,0.207,0.73,0
EYE,62404,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4867,0.803,1.27,0
EYE,63307,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4787,0.979,2.27,1
EYE,64166,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2018,0.982,2.27,1
EYE,65035,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1754,1.09,2.27,1
EYE,65664,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4246,0.954,2.27,1
EYE,66626,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4236,0.25,0.73,0
EYE,67302,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3285,0.886,1.27,0
EYE,68182,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1759,0.487,0.73,0
EYE,69128,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,3867,0.304,0.73,0
EYE,70039,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,3920,0.498,0.73,0
EYE,70484,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,816,0.399,0.73,0
EYE,71401,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4244,0.419,0.73,0
EYE,71981,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1860,0.388,0.73,0
EYE,72479,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1406,0.474,0.73,0
EYE,73039,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1499,0.355,0.73,0
EYE,73761,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4127,0.978,2.27,1
EYE,74726,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,927,0.766,1.27,0
EYE,75448,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1369,0.738,1.27,0
EYE,76486,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2695,0.785,1.27,0
EYE,77375,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,954,0.539,0.73,0
EYE,78167,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2209,0.988,2.27,1
EYE,79104,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3606,0.855,1.27,0
EYE,80188,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2641,0.452,0.73,0
EYE,80908,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4915,1.285,2.27,1
EYE,81778,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4647,0.995,2.27,1
EYE,82269,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1966,0.465,0.73,0
EYE,83366,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3574,0.78,1.27,0
EYE,83955,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1374,0.52,0.73,0
EYE,84659,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1948,0.915,2.27,1
EYE,85740,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2515,0.914,2.27,1
EYE,86403,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4654,0.811,1.27,0
EYE,87374,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,3924,0.367,0.73,0
EYE,88547,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3851,0.895,1.27,0
EYE,89296,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1676,0.952,2.27,1
EYE,90351,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4942,0.823,1.27,0
EYE,90856,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1435,0.442,0.73,0
EYE,92042,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2493,0.889,1.27,0
EYE,92499,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4475,0.351,0.73,0
EYE,93539,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2169,0.95,2.27,1
EYE,94572,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1881,0.487,0.73,0
EYE,95089,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,1312,0.745,1.27,0
EYE,96089,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1359,0.366,0.73,0
EYE,97069,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4143,1.113,2.27,1
EYE,97544,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,3094,0.423,0.73,0
EYE,97990,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2479,0.332,0.73,0
EYE,99139,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2941,0.874,1.27,0
EYE,100150,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3859,0.97,2.27,1
EYE,100906,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,2557,0.96,2.27,1
EYE,102067,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2870,0.368,0.73,0
EYE,102908,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,4530,0.952,2.27,1
EYE,103823,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,2431,0.44,0.73,0
EYE,105014,1,0.05,0.0,0.0,0.0,0,1,0,0,0,0,3887,0.991,2.27,1
EYE,105573,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,1135,0.38,0.73,0
EYE,106636,1,0.95,0.0,0.0,0.0,0,1,0,0,0,0,4346,0.406,0.73,0
